name,longitude,latitude,prov,date,key
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,2/12/2023,4760361215
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,2/12/2023,4766952149
"Haplospiza unicolor Cabanis, 1851",-45.094585,-23.251009,gbif,2/10/2023,4663059037
"Haplospiza unicolor Cabanis, 1851",-45.837395,-23.564577,gbif,2/11/2023,4704748428
"Haplospiza unicolor Cabanis, 1851",-43.023777,-22.456879,gbif,2/13/2023,4784791577
"Haplospiza unicolor Cabanis, 1851",-43.023777,-22.456879,gbif,2/13/2023,4775159861
"Haplospiza unicolor Cabanis, 1851",-42.971954,-22.416248,gbif,2/16/2023,4660237004
"Haplospiza unicolor Cabanis, 1851",-45.070404,-23.309763,gbif,2/16/2023,4805935653
"Haplospiza unicolor Cabanis, 1851",-47.386,-23.8197,gbif,2/18/2023,4780236721
"Haplospiza unicolor Cabanis, 1851",-48.81067,-27.73223,gbif,2/18/2023,4670399547
"Haplospiza unicolor Cabanis, 1851",-44.90638,-22.805258,gbif,2/18/2023,4784533701
"Haplospiza unicolor Cabanis, 1851",-46.388626,-23.977064,gbif,2/20/2023,4706858436
"Haplospiza unicolor Cabanis, 1851",-49.36535,-28.057894,gbif,2/21/2023,4778179457
"Haplospiza unicolor Cabanis, 1851",-44.90638,-22.805258,gbif,2/19/2023,4699525582
"Haplospiza unicolor Cabanis, 1851",-44.90638,-22.805258,gbif,2/19/2023,4820712265
"Haplospiza unicolor Cabanis, 1851",-52.67862,-26.037426,gbif,2/22/2023,4764751961
"Haplospiza unicolor Cabanis, 1851",-52.67862,-26.037426,gbif,2/22/2023,4778242542
"Haplospiza unicolor Cabanis, 1851",-41.733047,-20.52906,gbif,2/20/2023,4670818045
"Haplospiza unicolor Cabanis, 1851",-45.66558,-22.879545,gbif,2/25/2023,4709507868
"Haplospiza unicolor Cabanis, 1851",-46.2576,-23.71631,gbif,2/25/2023,4681332081
"Haplospiza unicolor Cabanis, 1851",-45.982563,-22.900047,gbif,2/26/2023,4662717599
"Haplospiza unicolor Cabanis, 1851",-46.2576,-23.71631,gbif,2/26/2023,4697584484
"Haplospiza unicolor Cabanis, 1851",-46.301388,-23.777185,gbif,2/25/2023,4832646802
"Haplospiza unicolor Cabanis, 1851",-46.301388,-23.777185,gbif,2/25/2023,4672583881
"Haplospiza unicolor Cabanis, 1851",-49.860943,-25.559328,gbif,2/26/2023,4655735412
"Haplospiza unicolor Cabanis, 1851",-42.58043,-22.332941,gbif,2/25/2023,4611170087
"Haplospiza unicolor Cabanis, 1851",-47.993073,-24.057072,gbif,2/18/2023,4652470961
"Haplospiza unicolor Cabanis, 1851",-41.730247,-20.467573,gbif,2/27/2023,4702910632
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,2/12/2023,4704600549
"Haplospiza unicolor Cabanis, 1851",-41.733047,-20.52906,gbif,2/20/2023,4783959443
"Haplospiza unicolor Cabanis, 1851",-44.816353,-23.142773,gbif,2/20/2023,4838105061
"Haplospiza unicolor Cabanis, 1851",-57.326,-25.246,gbif,2/22/2023,4762405265
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/2/2023,4611445461
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4710717874
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4710915567
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4775204147
"Haplospiza unicolor Cabanis, 1851",-48.416756,-24.27336,gbif,3/4/2023,4646164369
"Haplospiza unicolor Cabanis, 1851",-48.424873,-24.28386,gbif,3/4/2023,4686660014
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4825591524
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4769754786
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4616414705
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4667007660
"Haplospiza unicolor Cabanis, 1851",-43.2724,-22.949541,gbif,3/6/2023,4700838199
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,3/10/2023,4717279251
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,3/11/2023,4711080533
"Haplospiza unicolor Cabanis, 1851",-46.95977,-23.695135,gbif,3/11/2023,4693999935
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,3/10/2023,4611486896
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,3/11/2023,4647171443
"Haplospiza unicolor Cabanis, 1851",-47.519943,-23.952648,gbif,3/12/2023,4800914924
"Haplospiza unicolor Cabanis, 1851",-47.519943,-23.952648,gbif,3/12/2023,4713634657
"Haplospiza unicolor Cabanis, 1851",-51.961662,-30.007475,gbif,3/8/2023,4717912722
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,3/14/2023,4715769584
"Haplospiza unicolor Cabanis, 1851",-44.899734,-22.827477,gbif,3/15/2023,4631062769
"Haplospiza unicolor Cabanis, 1851",-48.81067,-27.73223,gbif,3/18/2023,4703973237
"Haplospiza unicolor Cabanis, 1851",-55.617783,-27.412691,gbif,3/19/2023,4717585951
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,3/19/2023,4700419632
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,3/19/2023,4630138333
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,3/19/2023,4829836211
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,3/19/2023,4707147743
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/20/2023,4664220138
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/20/2023,4790202523
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/20/2023,4629114577
"Haplospiza unicolor Cabanis, 1851",-55.617783,-27.412691,gbif,3/19/2023,4664581940
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/20/2023,4618660933
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/21/2023,4708691508
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/21/2023,4805131133
"Haplospiza unicolor Cabanis, 1851",-48.2985,-24.312246,gbif,3/21/2023,4639055566
"Haplospiza unicolor Cabanis, 1851",-42.49221,-22.37579,gbif,3/24/2023,4617526382
"Haplospiza unicolor Cabanis, 1851",-42.49221,-22.37579,gbif,3/24/2023,4668636613
"Haplospiza unicolor Cabanis, 1851",-42.49221,-22.37579,gbif,3/24/2023,4830198776
"Haplospiza unicolor Cabanis, 1851",-42.49221,-22.37579,gbif,3/24/2023,4610612842
"Haplospiza unicolor Cabanis, 1851",-45.502506,-23.566956,gbif,3/25/2023,4795505716
"Haplospiza unicolor Cabanis, 1851",-48.811634,-25.099901,gbif,3/26/2023,4724041373
"Haplospiza unicolor Cabanis, 1851",-42.49221,-22.37579,gbif,3/24/2023,4788643942
"Haplospiza unicolor Cabanis, 1851",-45.502506,-23.566956,gbif,3/25/2023,4701785359
"Haplospiza unicolor Cabanis, 1851",-42.560795,-22.370562,gbif,3/27/2023,4792727431
"Haplospiza unicolor Cabanis, 1851",-45.39259,-22.617435,gbif,3/27/2023,4813314562
"Haplospiza unicolor Cabanis, 1851",-51.529404,-26.43001,gbif,3/29/2023,4720704256
"Haplospiza unicolor Cabanis, 1851",-51.659454,-26.1085,gbif,3/30/2023,4670550036
"Haplospiza unicolor Cabanis, 1851",-41.02675,-20.49277,gbif,3/31/2023,4668743071
"Haplospiza unicolor Cabanis, 1851",-51.199154,-29.145195,gbif,3/31/2023,4725229062
"Haplospiza unicolor Cabanis, 1851",-46.340157,-23.763912,gbif,3/4/2023,4795256888
"Haplospiza unicolor Cabanis, 1851",-45.225426,-22.56931,gbif,3/25/2023,4762787198
"Haplospiza unicolor Cabanis, 1851",-45.179165,-22.541662,gbif,3/25/2023,4652558412
"Haplospiza unicolor Cabanis, 1851",-45.225426,-22.56931,gbif,3/25/2023,4630596757
"Haplospiza unicolor Cabanis, 1851",-45.179165,-22.541662,gbif,3/25/2023,4801053086
"Haplospiza unicolor Cabanis, 1851",-44.6149,-22.736116,gbif,3/5/2023,4834743034
"Haplospiza unicolor Cabanis, 1851",-44.619595,-22.717306,gbif,3/5/2023,4758767197
"Haplospiza unicolor Cabanis, 1851",-46.384867,-23.987751,gbif,4/29/2023,4129934561
"Haplospiza unicolor Cabanis, 1851",-48.413526,-24.265797,gbif,4/27/2023,4116505324
"Haplospiza unicolor Cabanis, 1851",-46.490149,-23.686671,gbif,4/20/2023,4420726911
"Haplospiza unicolor Cabanis, 1851",-41.050785,-20.33847,gbif,4/1/2023,4829801515
"Haplospiza unicolor Cabanis, 1851",-49.71788,-27.161331,gbif,4/1/2023,4641571898
"Haplospiza unicolor Cabanis, 1851",-51.373913,-24.945017,gbif,4/2/2023,4631532010
"Haplospiza unicolor Cabanis, 1851",-51.168358,-23.952864,gbif,4/2/2023,4656128301
"Haplospiza unicolor Cabanis, 1851",-48.411983,-24.264908,gbif,4/7/2023,4622695632
